email,context,id
<imap_tools.message.MailMessage object at 0x103197d60>,deleted,110
<imap_tools.message.MailMessage object at 0x106217ee0>,deleted,110
<imap_tools.message.MailMessage object at 0x1035afdc0>,deleted,110
<imap_tools.message.MailMessage object at 0x1019e7e80>,deleted,110
<imap_tools.message.MailMessage object at 0x1056d3e50>,deleted,110
<imap_tools.message.MailMessage object at 0x104d185b0>,deleted,110
<imap_tools.message.MailMessage object at 0x101583bb0>,deleted,106
<imap_tools.message.MailMessage object at 0x101583eb0>,deleted,107
<imap_tools.message.MailMessage object at 0x101583e80>,deleted,108
<imap_tools.message.MailMessage object at 0x102e43b50>,deleted,106
<imap_tools.message.MailMessage object at 0x102e43e50>,deleted,107
<imap_tools.message.MailMessage object at 0x102e43f70>,deleted,108
"Hello World 02
",deleted,106
